"","Pair.Name","Ligand.ApprovedSymbol","Ligand.Name","Receptor.ApprovedSymbol","Receptor.Name","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","HPMR.Ligand","HPMR.Receptor","PMID.Manual","Pair.Source","Pair.Evidence","mode"
"67","ANGPT1_ITGB1","ANGPT1","angiopoietin 1","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","","","","STRING.binding","","ANGPT1","ITGB1","","novel","putative","ANGPT"
"68","ANGPT1_TEK","ANGPT1","angiopoietin 1","TEK","TEK tyrosine kinase, endothelial","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","ANGPT1","TEK","","known","literature supported","ANGPT"
"69","ANGPT1_TIE1","ANGPT1","angiopoietin 1","TIE1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1","","HPMR","","","","","ANGPT1","TIE1","","known","literature supported","ANGPT"
"70","ANGPT2_TEK","ANGPT2","angiopoietin 2","TEK","TEK tyrosine kinase, endothelial","DLRP","HPMR","","HPRD","STRING.binding","STRING.experiment","ANGPT2","TEK","","known","literature supported","ANGPT"
"71","ANGPT2_TIE1","ANGPT2","angiopoietin 2","TIE1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1","","","","","STRING.binding","STRING.experiment","ANGPT2","TIE1","","novel","putative","ANGPT"
"72","ANGPT4_TEK","ANGPT4","angiopoietin 4","TEK","TEK tyrosine kinase, endothelial","","","IUPHAR","HPRD","STRING.binding","STRING.experiment","","TEK","","known","literature supported","ANGPT"
"73","ANGPT4_TIE1","ANGPT4","angiopoietin 4","TIE1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1","","","","","STRING.binding","STRING.experiment","","TIE1","","novel","putative","ANGPT"
"74","ANGPTL1_TEK","ANGPTL1","angiopoietin-like 1","TEK","TEK tyrosine kinase, endothelial","DLRP","","","HPRD","","","","TEK","","known","literature supported","ANGPT"
"75","ANGPTL2_TIE1","ANGPTL2","angiopoietin-like 2","TIE1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1","","","","","STRING.binding","","","TIE1","","novel","putative","ANGPT"
"76","ANGPTL3_ITGA5","ANGPTL3","angiopoietin-like 3","ITGA5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","","","","HPRD","","","","ITGA5","","novel","literature supported","ANGPT"
"77","ANGPTL3_ITGAV","ANGPTL3","angiopoietin-like 3","ITGAV","integrin, alpha V","","","","HPRD","STRING.binding","","","ITGAV","","novel","literature supported","ANGPT"
"78","ANGPTL3_ITGB3","ANGPTL3","angiopoietin-like 3","ITGB3","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)","","","","HPRD","","","","ITGB3","","novel","literature supported","ANGPT"
"79","ANGPTL4_TIE1","ANGPTL4","angiopoietin-like 4","TIE1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1","","","","","STRING.binding","","ANGPTL4","TIE1","","novel","putative","ANGPT"
"80","ANXA1_DYSF","ANXA1","annexin A1","DYSF","dysferlin","","","","HPRD","STRING.binding","","ANXA1","","","novel","literature supported","UNCAT"
"81","ANXA1_EGFR","ANXA1","annexin A1","EGFR","epidermal growth factor receptor","","","","HPRD","STRING.binding","","ANXA1","EGFR","","novel","literature supported","EGF"
"82","ANXA1_FPR1","ANXA1","annexin A1","FPR1","formyl peptide receptor 1","","HPMR","IUPHAR","HPRD","","","ANXA1","FPR1","","known","literature supported","Chemotaxis"
"83","ANXA1_FPR2","ANXA1","annexin A1","FPR2","formyl peptide receptor 2","","","IUPHAR","","STRING.binding","","ANXA1","FPRL1","","known","literature supported","Chemotaxis"
"84","ANXA1_FPR3","ANXA1","annexin A1","FPR3","formyl peptide receptor 3","","","IUPHAR","","STRING.binding","","ANXA1","FPRL2","","known","literature supported","UNCAT"
"85","APLN_APLNR","APLN","apelin","APLNR","apelin receptor","","HPMR","IUPHAR","HPRD","STRING.binding","","APLN","AGTRL1","","known","literature supported","Vasoactive"
"86","APOB_CALCR","APOB","apolipoprotein B","CALCR","calcitonin receptor","","","","","STRING.binding","STRING.experiment","APOB","CALCR","","novel","putative","UNCAT"
"87","APOB_ITGAM","APOB","apolipoprotein B","ITGAM","integrin, alpha M (complement component 3 receptor 3 subunit)","","","","","STRING.binding","","APOB","ITGAM","","novel","putative","UNCAT"
"88","APOB_ITGB2","APOB","apolipoprotein B","ITGB2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","","","","","STRING.binding","","APOB","ITGB2","","novel","putative","UNCAT"
"89","APOB_LDLR","APOB","apolipoprotein B","LDLR","low density lipoprotein receptor","","HPMR","","HPRD","STRING.binding","","APOB","LDLR","","known","literature supported","UNCAT"
"90","APOB_LRP2","APOB","apolipoprotein B","LRP2","low density lipoprotein receptor-related protein 2","","","","HPRD","","","APOB","LRP2","","novel","literature supported","UNCAT"
"91","APOB_LRP6","APOB","apolipoprotein B","LRP6","low density lipoprotein receptor-related protein 6","","","","","STRING.binding","","APOB","LRP6","","novel","putative","UNCAT"
"92","APOB_LRP8","APOB","apolipoprotein B","LRP8","low density lipoprotein receptor-related protein 8, apolipoprotein e receptor","","","","","STRING.binding","","APOB","LRP8","","novel","putative","UNCAT"
"93","APOB_LSR","APOB","apolipoprotein B","LSR","lipolysis stimulated lipoprotein receptor","","","","","STRING.binding","","APOB","","7615497","novel","literature supported","UNCAT"
"94","APOB_OLR1","APOB","apolipoprotein B","OLR1","oxidized low density lipoprotein (lectin-like) receptor 1","","","","","STRING.binding","","APOB","OLR1","9763524","novel","literature supported","UNCAT"
"95","APOC3_SDC2","APOC3","apolipoprotein C-III","SDC2","syndecan 2","","","","","STRING.binding","","APOC3","SDC2","","novel","putative","Complement"
"96","APOC3_TLR2","APOC3","apolipoprotein C-III","TLR2","toll-like receptor 2","","","","","STRING.binding","","APOC3","TLR2","","novel","putative","TLR"
"97","APOD_LEPR","APOD","apolipoprotein D","LEPR","leptin receptor","","","","HPRD","STRING.binding","","","LEPR","","novel","literature supported","UNCAT"
"98","APOE_CHRNA4","APOE","apolipoprotein E","CHRNA4","cholinergic receptor, nicotinic, alpha 4 (neuronal)","","","","","STRING.binding","","APOE","","","novel","putative","APOE"
"99","APOE_LDLR","APOE","apolipoprotein E","LDLR","low density lipoprotein receptor","","HPMR","","HPRD","STRING.binding","","APOE","LDLR","","known","literature supported","APOE"
"100","APOE_LRP1","APOE","apolipoprotein E","LRP1","low density lipoprotein receptor-related protein 1","","","","HPRD","STRING.binding","STRING.experiment","APOE","LRP1","","novel","literature supported","APOE"
"101","APOE_LRP2","APOE","apolipoprotein E","LRP2","low density lipoprotein receptor-related protein 2","","","","HPRD","","STRING.experiment","APOE","LRP2","","novel","literature supported","APOE"
"102","APOE_LRP5","APOE","apolipoprotein E","LRP5","low density lipoprotein receptor-related protein 5","","HPMR","","","STRING.binding","","APOE","LRP5","","known","literature supported","APOE"
"103","APOE_LRP8","APOE","apolipoprotein E","LRP8","low density lipoprotein receptor-related protein 8, apolipoprotein e receptor","","HPMR","","HPRD","STRING.binding","STRING.experiment","APOE","LRP8","","known","literature supported","APOE"
"104","APOE_SCARB1","APOE","apolipoprotein E","SCARB1","scavenger receptor class B, member 1","","","","HPRD","STRING.binding","","APOE","SCARB1","","novel","literature supported","APOE"
"105","APOE_SORL1","APOE","apolipoprotein E","SORL1","sortilin-related receptor, L(DLR class) A repeats containing","","HPMR","","","","","APOE","SORL1","","known","literature supported","APOE"
"106","APOE_VLDLR","APOE","apolipoprotein E","VLDLR","very low density lipoprotein receptor","","HPMR","","HPRD","STRING.binding","STRING.experiment","APOE","VLDLR","","known","literature supported","APOE"
"107","APP_CAV1","APP","amyloid beta (A4) precursor protein","CAV1","caveolin 1, caveolae protein, 22kDa","","","","HPRD","","","","","","novel","literature supported","UNCAT"
"108","APP_CD74","APP","amyloid beta (A4) precursor protein","CD74","CD74 molecule, major histocompatibility complex, class II invariant chain","","","","","","","","","19849849","novel","literature supported","UNCAT"
"109","APP_FPR2","APP","amyloid beta (A4) precursor protein","FPR2","formyl peptide receptor 2","","","IUPHAR","","STRING.binding","","","FPRL1","","known","literature supported","Chemotaxis"
"110","APP_GPC1","APP","amyloid beta (A4) precursor protein","GPC1","glypican 1","","","","HPRD","STRING.binding","","","GPC1","","novel","literature supported","UNCAT"
"111","APP_LRP1","APP","amyloid beta (A4) precursor protein","LRP1","low density lipoprotein receptor-related protein 1","","","","HPRD","","STRING.experiment","","LRP1","","novel","literature supported","UNCAT"
"112","APP_NCSTN","APP","amyloid beta (A4) precursor protein","NCSTN","nicastrin","","","","HPRD","","","","NCSTN","","novel","literature supported","UNCAT"
"113","APP_NGFR","APP","amyloid beta (A4) precursor protein","NGFR","nerve growth factor receptor","","","","","STRING.binding","","","NGFR","","novel","putative","UNCAT"
"114","APP_SLC45A3","APP","amyloid beta (A4) precursor protein","SLC45A3","solute carrier family 45, member 3","","","","","STRING.binding","","","","","novel","putative","UNCAT"
"115","APP_TNFRSF21","APP","amyloid beta (A4) precursor protein","TNFRSF21","tumor necrosis factor receptor superfamily, member 21","","","","","STRING.binding","","","TNFRSF21","19225519","novel","literature supported","UNCAT"
"116","AREGB_EGFR","AREGB","amphiregulin B","EGFR","epidermal growth factor receptor","","","IUPHAR","","","","","EGFR","","known","literature supported","EGF"
"117","AREGB_ERBB3","AREGB","amphiregulin B","ERBB3","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3","","","","","STRING.binding","","","ERBB3","","novel","putative","EGF"
"118","AREG_EGFR","AREG","amphiregulin","EGFR","epidermal growth factor receptor","DLRP","HPMR","IUPHAR","HPRD","","","AREG","EGFR","","known","literature supported","EGF"
"119","AREG_ERBB3","AREG","amphiregulin","ERBB3","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3","","","","","STRING.binding","","AREG","ERBB3","8702723","novel","literature supported","EGF"
"120","ARF1_CHRM3","ARF1","ADP-ribosylation factor 1","CHRM3","cholinergic receptor, muscarinic 3","","","","HPRD","","","","CHRM3","","novel","literature supported","UNCAT"
"121","ARF1_INSR","ARF1","ADP-ribosylation factor 1","INSR","insulin receptor","","","","HPRD","","","","INSR","","novel","literature supported","UNCAT"
"122","ARF1_PLD2","ARF1","ADP-ribosylation factor 1","PLD2","phospholipase D2","","","IUPHAR","HPRD","STRING.binding","STRING.experiment","","","","known","literature supported","UNCAT"
"123","ARTN_GFRA1","ARTN","artemin","GFRA1","GDNF family receptor alpha 1","","","","","STRING.binding","","ARTN","GFRA1","9883723","novel","literature supported","Neurotrophins"
"124","ARTN_GFRA3","ARTN","artemin","GFRA3","GDNF family receptor alpha 3","","HPMR","","HPRD","STRING.binding","STRING.experiment","ARTN","GFRA3","","known","literature supported","Neurotrophins"
"125","ARTN_RET","ARTN","artemin","RET","ret proto-oncogene","","HPMR","","","","","ARTN","RET","","known","literature supported","Neurotrophins"
"126","ASIP_ATRN","ASIP","agouti signaling protein","ATRN","attractin","","HPMR","","","","","ASIP","ATRN","","known","literature supported","Chemotaxis"
"127","ASIP_F11R","ASIP","agouti signaling protein","F11R","F11 receptor","","","","HPRD","","","ASIP","","","novel","literature supported","UNCAT"
"128","ASIP_MC1R","ASIP","agouti signaling protein","MC1R","melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)","","HPMR","","HPRD","","","ASIP","MC1R","","known","literature supported","UNCAT"
"129","ASIP_MC2R","ASIP","agouti signaling protein","MC2R","melanocortin 2 receptor (adrenocorticotropic hormone)","","","","HPRD","","","ASIP","MC2R","","novel","literature supported","UNCAT"
"130","ASIP_MC3R","ASIP","agouti signaling protein","MC3R","melanocortin 3 receptor","","","","HPRD","","","ASIP","MC3R","","novel","literature supported","UNCAT"
"131","ASIP_MC4R","ASIP","agouti signaling protein","MC4R","melanocortin 4 receptor","","","","HPRD","","","ASIP","MC4R","","novel","literature supported","UNCAT"
"132","ASIP_MC5R","ASIP","agouti signaling protein","MC5R","melanocortin 5 receptor","","","","HPRD","","","ASIP","MC5R","","novel","literature supported","UNCAT"
"133","ASIP_MGRN1","ASIP","agouti signaling protein","MGRN1","mahogunin ring finger 1, E3 ubiquitin protein ligase","","HPMR","","","","","ASIP","MGRN1","","known","EXCLUDED not receptor","UNCAT"
"134","AVP_AVPR1A","AVP","arginine vasopressin","AVPR1A","arginine vasopressin receptor 1A","","HPMR","IUPHAR","HPRD","","","AVP","AVPR1A","","known","literature supported","UNCAT"
"135","AVP_AVPR1B","AVP","arginine vasopressin","AVPR1B","arginine vasopressin receptor 1B","","HPMR","IUPHAR","HPRD","","","AVP","AVPR1B","","known","literature supported","UNCAT"
"136","AVP_AVPR2","AVP","arginine vasopressin","AVPR2","arginine vasopressin receptor 2","","HPMR","IUPHAR","HPRD","","","AVP","AVPR2","","known","literature supported","UNCAT"
"137","AVP_OXTR","AVP","arginine vasopressin","OXTR","oxytocin receptor","","","IUPHAR","HPRD","","","AVP","OXTR","","known","literature supported","UNCAT"
"138","AZGP1_ITGAV","AZGP1","alpha-2-glycoprotein 1, zinc-binding","ITGAV","integrin, alpha V","","","","HPRD","","","","ITGAV","","novel","literature supported","UNCAT"
"139","B2M_CD1A","B2M","beta-2-microglobulin","CD1A","CD1a molecule","","","","HPRD","STRING.binding","STRING.experiment","","","","novel","literature supported","UNCAT"
"140","B2M_CD1B","B2M","beta-2-microglobulin","CD1B","CD1b molecule","","","","HPRD","STRING.binding","STRING.experiment","","","","novel","literature supported","UNCAT"
"141","B2M_CD247","B2M","beta-2-microglobulin","CD247","CD247 molecule","","","","","STRING.binding","","","","","novel","putative","UNCAT"
"142","B2M_CD3D","B2M","beta-2-microglobulin","CD3D","CD3d molecule, delta (CD3-TCR complex)","","","","","STRING.binding","","","","","novel","putative","UNCAT"
"143","B2M_CD3G","B2M","beta-2-microglobulin","CD3G","CD3g molecule, gamma (CD3-TCR complex)","","","","","STRING.binding","","","CD3G","","novel","putative","UNCAT"
"144","B2M_HFE","B2M","beta-2-microglobulin","HFE","hemochromatosis","","","","HPRD","STRING.binding","STRING.experiment","","HFE","","novel","literature supported","UNCAT"
"145","B2M_HLA-F","B2M","beta-2-microglobulin","HLA-F","major histocompatibility complex, class I, F","","","","HPRD","","","","","","novel","literature supported","UNCAT"
"146","B2M_KIR2DL1","B2M","beta-2-microglobulin","KIR2DL1","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1","","","","","STRING.binding","STRING.experiment","","KIR2DL1","","novel","putative","UNCAT"
